TradeName,ActiveIngredient,Organic,LabelPDF,WebLabelPDF,EPARegistration,CompanyName,CompanyContact,CompanyWebsite,StatesUsed,WorkerReentry,PreHarvestInterval,EfficacyData,WebEfficacyData,OrganicWeb
Fortune AZA 3% EC,Azadirachtin,Y,http://www3.epa.gov/pesticides/chem_search/ppls/071038-00004-20130423.pdf,YES,71038-4,Fortune Biotech,91-40-27531726 info@fortunebiotech.com,http://www.fortunebiotech.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,https://goo.gl/5yZxYz,YES,Yes
Azatin XL Plus,Azadirachtin,N,http://www.certisusa.com/pdf-labels/Azatin-XL-Plus-label.pdf,YES,70051-27,Certis USA,Brett Highland 941-484-4523 bhighland@certisusa.com,http://certisusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,https://goo.gl/E73jhn,YES,No
Molt-X,Azadirachtin,Y,http://www.bioworksinc.com/products/molt-x/molt-x-label.pdf,YES,68539-11,BioWorks Inc.,Matt Krause (800) 877-9443 mkrause@bioworksinc.com,http://bioworksinc.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
Azatin O,Azadirachtin,Y,http://www.cdms.net/ldat/ldCA6000.pdf,YES,70051-27-59807,OHP,Dennis Kern (CA) (949) 653-8412,http://www.ohp.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
AzaGuard Botanical Insecticide/Nematicide,Azadirachtin,N,http://biosafesystems.com//-labels/azaguard/azaguard-specimen.pdf,YES,70299-17,BioSafe Systems,Vijay Choppakatla 8602908890 x221 vijayc@biosafesystems.com,http://www.biosafesystems.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Ornamental/SummaryReports/ThripsDataSummary2014.pdf,YES,No
Ecozin 3% EC,Azadirachtin,Y,https://s3-us-west-2.amazonaws.com/greenbook-assets/L70470.pdf,YES,5481-476,AMVAC Chemical Corp,John Immaraju johni@amvac-chemical.com,http://www.amvac-chemical.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,12 hours,0 days,http://fshs.org/proceedings-o/2005-vol-118/118/119-124.pdf,YES,Yes
Aza-Direct,Azadirachtin,Y,http://www.gowanco.com/sites/default/files/gowanco_com/_attachments/product/resource/label/aza-direct_71908-1-10163_01-r0916.pdf,YES,71908-1-10163,Gowan Company,Nikki Yepez / Emily Foley 928-819-1516 efoley@gowanco.com,http://www.gowanco.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/brust%2008.pdf,YES,Yes
Enstar II Insect Growth Regulator (Enstar 5E),S-Kinoprene,N,http://ir4.rutgers.edu/Biopesticides/Labels/enstarII.pdf,YES,2724-476,Central Life Sciences/Wellmark Int.,Doug Vangundy Doug.Vangundy@wellmarkint.com,http://www.centrallifesciences.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,https://extension.tennessee.edu/publications/documents/pb1594.pdf,YES,No
Agroneem Plus Agricultural,Azadirachtin,Y,http://www.agrian.com/pdfs/Agroneem_Plus_For_Agricultural_Horticultural__Greenhouse_Use_(101007)_Label.pdf,YES,70310-2,"Agro Logistic Systems, Inc.",Shyam Chari 714-990-9220 info@agrologistic.com,http://www.agrologistic.com,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://www.ipmcenters.org/pmsp/pdf/HIcoffeePMSP.pdf,YES,Yes
Golden Pest Spray Oil,Soybean oil,N,http://www.cdms.net/LDat/ld5OI006.pdf,YES,57538-11,"Stoller Enterprises, Ltd.",Geoff Bedard (306) 528-7309 gbedard@stollereneterprises.co,http://www.stollerusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://www.cabi.org/isc/FullTextPDF/2005/20053165609.pdf,YES,No
