_id,common_name,binominal_name,taxa_order,taxa_family,taxa_genus,taxa_species,also_called,description,image_url,controls_id
60db152eb94a6b3d465c63e4,13 Year Periodical Cicada,Magicicada neotredecim,Hemiptera,Cicadidae,Magicicada,neotredecim,,,,
60db152eb94a6b3d465c63e5,22-spotted Lady Beetle,Psyllobora vigintiduopunctata,Coleoptera,Coccinellidae,Psyllobora,vigintiduopunctata,,,,
60db152eb94a6b3d465c63e6,88 Butterfly,Diaethria clymena,Lepidoptera,Nymphalidae,Diaethria,clymena,,,,
60db152eb94a6b3d465c63e7,Aaron's Skipper,Poanes aaroni,Lepidoptera,Hesperiidae,Poanes,aaroni,,,,
60db152eb94a6b3d465c63e8,Aaroniella badonneli,Aaroniella badonneli,Psocodea,Philotarsidae,Aaroniella,badonneli,,,,
60db152eb94a6b3d465c63e9,Ababa tantilla,Ababa tantilla,Coleoptera,Cleridae,Ababa,tantilla,,,,
60db152eb94a6b3d465c63ea,Abablemma bilineata,Abablemma bilineata,Lepidoptera,Erebidae,Abablemma,bilineata,,,,
60db152eb94a6b3d465c63eb,Abablemma brimleyana,Abablemma brimleyana,Lepidoptera,Erebidae,Abablemma,brimleyana,,,,
60db152eb94a6b3d465c63ec,Abablemma duomaculata,Abablemma duomaculata,Lepidoptera,Erebidae,Abablemma,duomaculata,,,,
60db152eb94a6b3d465c63ed,Abachrysa eureka,Abachrysa eureka,Neuroptera,Chrysopidae,Abachrysa,eureka,,,,
60db152eb94a6b3d465c63ee,Abagrotis alampeta,Abagrotis alampeta,Lepidoptera,Noctuidae,Abagrotis,alampeta,,,,
60db152eb94a6b3d465c63ef,Abagrotis apposita,Abagrotis apposita,Lepidoptera,Noctuidae,Abagrotis,apposita,,,,
60db152eb94a6b3d465c63f0,Abagrotis baueri,Abagrotis baueri,Lepidoptera,Noctuidae,Abagrotis,baueri,,,,
60db152eb94a6b3d465c63f1,Abagrotis belfragei,Abagrotis belfragei,Lepidoptera,Noctuidae,Abagrotis,belfragei,,,,
60db152eb94a6b3d465c63f2,Abagrotis benjamini,Abagrotis benjamini,Lepidoptera,Noctuidae,Abagrotis,benjamini,,,,
60db152eb94a6b3d465c63f3,Abagrotis bimarginalis,Abagrotis bimarginalis,Lepidoptera,Noctuidae,Abagrotis,bimarginalis,,,,
60db152eb94a6b3d465c63f4,Abagrotis brunneipennis,Abagrotis brunneipennis,Lepidoptera,Noctuidae,Abagrotis,brunneipennis,,,,
60db152eb94a6b3d465c63f5,Abagrotis denticulata,Abagrotis denticulata,Lepidoptera,Noctuidae,Abagrotis,denticulata,,,,
60db152eb94a6b3d465c63f6,Abagrotis discoidalis,Abagrotis discoidalis,Lepidoptera,Noctuidae,Abagrotis,discoidalis,,,,
60db152eb94a6b3d465c63f7,Abagrotis dodi,Abagrotis dodi,Lepidoptera,Noctuidae,Abagrotis,dodi,,,,
60db152eb94a6b3d465c63f8,Abagrotis duanca,Abagrotis duanca,Lepidoptera,Noctuidae,Abagrotis,duanca,,,,
60db152eb94a6b3d465c63f9,Abagrotis erratica,Abagrotis erratica,Lepidoptera,Noctuidae,Abagrotis,erratica,,,,
60db152eb94a6b3d465c63fa,Abagrotis forbesi,Abagrotis forbesi,Lepidoptera,Noctuidae,Abagrotis,forbesi,,,,
60db152eb94a6b3d465c63fb,Abagrotis glenni,Abagrotis glenni,Lepidoptera,Noctuidae,Abagrotis,glenni,,,,
60db152eb94a6b3d465c63fc,Abagrotis hennei,Abagrotis hennei,Lepidoptera,Noctuidae,Abagrotis,hennei,,,,
60db152eb94a6b3d465c63fd,Abagrotis hermina,Abagrotis hermina,Lepidoptera,Noctuidae,Abagrotis,hermina,,,,
60db152eb94a6b3d465c63fe,Abagrotis kirkwoodi,Abagrotis kirkwoodi,Lepidoptera,Noctuidae,Abagrotis,kirkwoodi,,,,
60db152eb94a6b3d465c63ff,Abagrotis magnicupida,Abagrotis magnicupida,Lepidoptera,Noctuidae,Abagrotis,magnicupida,,,,
60db152eb94a6b3d465c6400,Abagrotis mexicana,Abagrotis mexicana,Lepidoptera,Noctuidae,Abagrotis,mexicana,,,,
60db152eb94a6b3d465c6401,Abagrotis mirabilis,Abagrotis mirabilis,Lepidoptera,Noctuidae,Abagrotis,mirabilis,,,,
60db152eb94a6b3d465c6402,Abagrotis nanalis,Abagrotis nanalis,Lepidoptera,Noctuidae,Abagrotis,nanalis,,,,
60db152eb94a6b3d465c6403,Abagrotis nefascia,Abagrotis nefascia,Lepidoptera,Noctuidae,Abagrotis,nefascia,,,,
60db152eb94a6b3d465c6404,Abagrotis orbis,Abagrotis orbis,Lepidoptera,Noctuidae,Abagrotis,orbis,,,,
60db152eb94a6b3d465c6405,Abagrotis placida,Abagrotis placida,Lepidoptera,Noctuidae,Abagrotis,placida,,,,
60db152eb94a6b3d465c6406,Abagrotis pulchrata,Abagrotis pulchrata,Lepidoptera,Noctuidae,Abagrotis,pulchrata,,,,
60db152eb94a6b3d465c6407,Abagrotis reedi,Abagrotis reedi,Lepidoptera,Noctuidae,Abagrotis,reedi,,,,
60db152eb94a6b3d465c6408,Abagrotis rubricundis,Abagrotis rubricundis,Lepidoptera,Noctuidae,Abagrotis,rubricundis,,,,
60db152eb94a6b3d465c6409,Abagrotis scopeops,Abagrotis scopeops,Lepidoptera,Noctuidae,Abagrotis,scopeops,,,,
60db152eb94a6b3d465c640a,Abagrotis trigona,Abagrotis trigona,Lepidoptera,Noctuidae,Abagrotis,trigona,,,,
60db152eb94a6b3d465c640b,Abagrotis turbulenta,Abagrotis turbulenta,Lepidoptera,Noctuidae,Abagrotis,turbulenta,,,,
60db152eb94a6b3d465c640c,Abagrotis variata,Abagrotis variata,Lepidoptera,Noctuidae,Abagrotis,variata,,,,
60db152eb94a6b3d465c640d,Abagrotis vittifrons,Abagrotis vittifrons,Lepidoptera,Noctuidae,Abagrotis,vittifrons,,,,
60db152eb94a6b3d465c640e,Abaris splendidula,Abaris splendidula,Coleoptera,Carabidae,Abaris,splendidula,,,,
60db152eb94a6b3d465c640f,Abax parallelepipedus,Abax parallelepipedus,Coleoptera,Carabidae,Abax,parallelepipedus,,,,
60db152eb94a6b3d465c6410,Abbot's Bagworm,Oiketicus abbotii,Lepidoptera,Psychidae,Oiketicus,abbotii,,,,
60db152eb94a6b3d465c6411,Abbot's Sawfly,Neodiprion abbotii,Hymenoptera,Diprionidae,Neodiprion,abbotii,,,,
60db152eb94a6b3d465c6412,Abbott's Sphinx Moth,Sphecodina abbottii,Lepidoptera,Sphingidae,Sphecodina,abbottii,,,,
60db152eb94a6b3d465c6413,Abbreviated Button Slug,Tortricidia flexuosa,Lepidoptera,Limacodidae,Tortricidia,flexuosa,,,,
60db152eb94a6b3d465c6414,Abbreviated Underwing Moth,Catocala abbreviatella,Lepidoptera,Erebidae,Catocala,abbreviatella,,,,
60db152eb94a6b3d465c6415,Abbreviated Wireworm,Hypnoidus abbreviatus,Coleoptera,Elateridae,Hypnoidus,abbreviatus,,,,
60db152eb94a6b3d465c6416,Abdera bicincta,Abdera bicincta,Coleoptera,Melandryidae,Abdera,bicincta,,,,
60db152eb94a6b3d465c6417,Abdiunguis fenderi,Abdiunguis fenderi,Coleoptera,Staphylinidae,Abdiunguis,fenderi,,,,
60db152eb94a6b3d465c6418,Abedus herberti,Abedus herberti,Hemiptera,Belostomatidae,Abedus,herberti,,,,
60db152eb94a6b3d465c6419,Abedus immaculatus,Abedus immaculatus,Hemiptera,Belostomatidae,Abedus,immaculatus,,,,
60db152eb94a6b3d465c641a,Abedus indentatus,Abedus indentatus,Hemiptera,Belostomatidae,Abedus,indentatus,,,,
60db152eb94a6b3d465c641b,Abegesta reluctalis,Abegesta reluctalis,Lepidoptera,Crambidae,Abegesta,reluctalis,,,,
60db152eb94a6b3d465c641c,Aberrant aerata-frondaria,Synchlora aerata-frondaria,Lepidoptera,Geometridae,Synchlora,aerata-frondaria,,,,
60db152eb94a6b3d465c641d,Aberrant Cellophane Bee,Colletes aberrans,Hymenoptera,Colletidae,Colletes,aberrans,,,,
60db152eb94a6b3d465c641e,Abia americana,Abia americana,Hymenoptera,Cimbicidae,Abia,americana,,,,
60db152eb94a6b3d465c641f,Abia fasciata,Abia fasciata,Hymenoptera,Cimbicidae,Abia,fasciata,,,,
60db152eb94a6b3d465c6420,Abia inflata,Abia inflata,Hymenoptera,Cimbicidae,Abia,inflata,,,,
60db152eb94a6b3d465c6421,Abia lonicerae,Abia lonicerae,Hymenoptera,Cimbicidae,Abia,lonicerae,,,,
60db152eb94a6b3d465c6422,Ablabesmyia annulata,Ablabesmyia annulata,Diptera,Chironomidae,Ablabesmyia,annulata,,,,
60db152eb94a6b3d465c6423,Ablabesmyia cinctipes,Ablabesmyia cinctipes,Diptera,Chironomidae,Ablabesmyia,cinctipes,,,,
60db152eb94a6b3d465c6424,Ablabesmyia peleensis,Ablabesmyia peleensis,Diptera,Chironomidae,Ablabesmyia,peleensis,,,,
60db152eb94a6b3d465c6425,Ablautus flavipes,Ablautus flavipes,Diptera,Asilidae,Ablautus,flavipes,,,,
60db152eb94a6b3d465c6426,Ablautus mimus,Ablautus mimus,Diptera,Asilidae,Ablautus,mimus,,,,
60db152eb94a6b3d465c6427,Ablautus rufotibialis,Ablautus rufotibialis,Diptera,Asilidae,Ablautus,rufotibialis,,,,
60db152eb94a6b3d465c6428,Ablautus vanduzeei,Ablautus vanduzeei,Diptera,Asilidae,Ablautus,vanduzeei,,,,
60db152eb94a6b3d465c6429,Ablechrus texensis,Ablechrus texensis,Coleoptera,Melyridae,Ablechrus,texensis,,,,
60db152eb94a6b3d465c642a,Abraeus bolteri,Abraeus bolteri,Coleoptera,Histeridae,Abraeus,bolteri,,,,
60db152eb94a6b3d465c642b,Abrenthia cuprea,Abrenthia cuprea,Lepidoptera,Glyphipterigidae,Abrenthia,cuprea,,,,
