TradeName,ActiveIngredient,Organic,LabelPDF,WebLabelPDF,EPARegistration,CompanyName,CompanyContact,CompanyWebsite,StatesUsed,WorkerReentry,PreHarvestInterval,EfficacyData,WebEfficacyData,OrganicWeb
Nimbecidine EC,Azadirachtin,N,http://neem.de/nimbecidine.pdf,YES,70387-1,T. Stanes & Company Ltd.,tscrc@t-stanes.com,http://www.tstanes.com/products-nimbecidine-ec.html,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,0 hours,0 days,https://goo.gl/nucM6z,YES,No
Axxe,Ammonium nonanoate,N,http://www.biosafesystems.com/wp/wp-content/uploads/2018/09/AXXEV8SpecimenLabel.pdf,YES,70299-23,BioSafe Systems,Vijay Choppakatla 8602908890 x221 vijayc@biosafesystems.com,http://www.biosafesystems.com/,,4 hrs,0 days,http://www.hortla.okstate.edu/research-and-outreach/programs/HIS/pdfs/2013-HIS.pdf,YES,No
Neemix 4.5 EC,Azadirachtin,Y,http://www.cdms.net/ldat/ld322007.pdf,YES,70051-9,Certis USA,Brett Highland 941-484-4523 bhighland@certisusa.com,http://certisusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://spiru.cgahr.ksu.edu/pdf/903_EcEn_98.683.pdf,YES,Yes
Azatin O,Azadirachtin,Y,http://www.cdms.net/ldat/ldCA6000.pdf,YES,70051-27-59807,OHP,Dennis Kern (CA) (949) 653-8412,http://www.ohp.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
Bugitol,"Capsaicin and related Capsaicinoids, Allyl Isothiocyanate",N,http://www.champon.com/PDFs/bugitollabel.pdf,YES,61966-4,"Champon Millennium Chemicals, Inc.",Louis Champon (703) 349-0511 louis@champon.com,http://www.champon.com/index.htm,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,72 hours,0 days,http://ir4.rutgers.edu/Biopesticides/Labels/bugitoleff.pdf,YES,No
AzaGuard Botanical Insecticide/Nematicide,Azadirachtin,N,http://biosafesystems.com//-labels/azaguard/azaguard-specimen.pdf,YES,70299-17,BioSafe Systems,Vijay Choppakatla 8602908890 x221 vijayc@biosafesystems.com,http://www.biosafesystems.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Ornamental/SummaryReports/ThripsDataSummary2014.pdf,YES,No
Des-X Insecticidal Soap,Potassium salts of fatty acids,Y,http://www.cdms.net/ldat/ld92T005.pdf,YES,67702-22-70051,Certis USA,Brett Highland 941-484-4523 bhighland@certisusa.com,http://certisusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,12 hrs,0 days,,,Yes
Ecozin 3% EC,Azadirachtin,Y,https://s3-us-west-2.amazonaws.com/greenbook-assets/L70470.pdf,YES,5481-476,AMVAC Chemical Corp,John Immaraju johni@amvac-chemical.com,http://www.amvac-chemical.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,12 hours,0 days,http://fshs.org/proceedings-o/2005-vol-118/118/119-124.pdf,YES,Yes
JMS Stylet-Oil,Paraffinic oil,Y,http://www.stylet-oil.com/media/StyletOilSpecimenLabel.pdf,YES,65564-1,"Flower Farms, Inc.",Jeff Simons (772) 713-0758 jeff@stylet-oil.com,http://www.stylet-oil.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
Aza-Direct,Azadirachtin,Y,http://www.gowanco.com/sites/default/files/gowanco_com/_attachments/product/resource/label/aza-direct_71908-1-10163_01-r0916.pdf,YES,71908-1-10163,Gowan Company,Nikki Yepez / Emily Foley 928-819-1516 efoley@gowanco.com,http://www.gowanco.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/brust%2008.pdf,YES,Yes
